name,builtin_url,sectors,location,employees,description,hub
Enova,https://builtin.com/company/enova,Fintech • Information Technology • Machine Learning • Software • Analytics • Financial Services,3 Offices,"1,848 Employees","Enova International (NYSE: ENVA) is a leading online financial services company that serves small businesses and consumers who are underserved by traditional banks. For over 20 years, Enova has provided over $67 billion in loans and financing to more than 14 million customers by offering a suite of market-leading products powered by the company's world-class analytics, machine learning algorithms and...",san-diego
Oso,https://builtin.com/company/oso,Security • Software • Infrastructure as a Service (IaaS),"New York, New York, USA",36 Employees,"Authorization controls who has access to what in an app. It’s a problem as old as computers, and it turns out, it’s a hard problem. At Oso, we help our customers build features to meet enterprise requirements, like fine-grained access controls or custom roles and permissions. We also provide the tools needed to build the next generation of secure, permissions...",san-diego
ARB Interactive,https://builtin.com/company/arb-interactive,Gaming • Software,"Fully Remote, USA",175 Employees,"ARB Interactive is the team behind Modo Casino, one of the top Social+ gaming platforms in the U.S. Founded in 2022, we build technology-driven gaming and sweepstakes experiences that reach millions of users, and we're just getting started. We move fast, think big, and genuinely love what we do. Our culture is collaborative, curious, and built on the belief that great...",san-diego
BuildOps,https://builtin.com/company/buildops,Cloud • Mobile • Software,3 Offices,500 Employees,"BuildOps is the only all-in-one management software built specifically for the modern commercial contractor, combining service and project management and everything in between. Focused on serving the commercial Mechanical, Electrical, Plumbing (MEP) market, the BuildOps platform enables contractors to prove out current market trends, optimize their business for higher profits, and stay ahead of the competition.",san-diego
Sonar,https://builtin.com/company/sonar,Artificial Intelligence • Cloud • Security • Software,6 Offices,800 Employees,"Sonar provides the essential verification layer for the AI-driven development era, ensuring all code-whether human-written or AI-generated-is code you can trust. Today, AI coding tools are generating explosive volumes of code. This has created an ""engineering productivity paradox"" : faster code writing doesn't automatically lead to faster, safer software delivery. The new bottleneck is verification. Sonar solves this. Integrating code quality and...",san-diego
Perk,https://builtin.com/company/perk-5,Artificial Intelligence • Fintech • Greentech • Sales • Software • Travel • Hospitality,12 Offices,"1,800 Employees","Perk (formerly TravelPerk) is the intelligent platform for travel and spend management. Built to tackle the time-consuming, manual work that gets in the way of real work, our tools automate everything from travel bookings to expenses, invoice processing, and more. By eliminating this shadow work that wastes hours, erodes morale, and saps innovation, we’re on a mission to power real...",san-diego
Teragonia,https://builtin.com/company/teragonia,Artificial Intelligence • Big Data • Machine Learning • Software • Analytics • Business Intelligence • Consulting,5 Offices,50 Employees,"It’s an exciting time to be a Teragonian! Come help us transform the Private Equity industry and drive AI innovation while taking on new challenges and career growth opportunity.​Teragonia provides an AI-based Value Orchestration platform for private equity backed mid-market operators, helping them transform fragmented operational data into an execution-focused view of business performance. With Teragonia, mid-market leaders align their...",san-diego
Airwallex,https://builtin.com/company/airwallex,Artificial Intelligence • Fintech • Payments • Business Intelligence • Financial Services • Generative AI,14 Offices,"2,000 Employees","Airwallex is the only unified payments and financial platform for global businesses. Powered by our unique combination of proprietary infrastructure and software, we empower over 200,000 businesses worldwide – including Brex, Rippling, Navan, Qantas, SHEIN and many more – with fully integrated solutions to manage everything from business accounts, payments, spend management and treasury, to embedded finance at a global...",san-diego
Webflow,https://builtin.com/company/webflow,Artificial Intelligence • Enterprise Web • Software • Design • Generative AI,4 Offices,800 Employees,"Webflow empowers teams - from startups to the Fortune 500 - to design, build, and grow for the web, all without writing a single line of code. Simply put: we’re changing the way the internet gets built. Instead of relying on long dev cycles or heavy engineering support, Webflow lets teams move from idea to launch faster - bringing creativity...",san-diego
Cisco ThousandEyes,https://builtin.com/company/thousandeyes-part-cisco,Cloud • Software,7 Offices,"1,100 Employees","Cisco ThousandEyes is a Digital Experience Assurance platform that empowers organizations to deliver flawless digital experiences across every network – even the ones they don’t own. Powered by AI and an unmatched set of cloud, internet and enterprise network telemetry data, ThousandEyes enables IT teams to proactively detect, diagnose, and remediate issues – before they impact end- user experiences. ThousandEyes...",san-diego
Agentio,https://builtin.com/company/agentio,AdTech • Artificial Intelligence,"New York, New York, USA",30 Employees,"Agentio has raised $56M to date at a $340M valuation, including a recent Series B led by Forerunner, which followed our Series A within a calendar year. Our investors also include Benchmark, Craft, and AlleyCorp. Agentio has been named to Forbes’ Next Billion Dollar Startups, 2025, and our platform is already used and loved by the world’s leading marketers and...",san-diego
Wells Fargo,https://builtin.com/company/wells-fargo,Fintech • Financial Services,12 Offices,"205,000 Employees","Wells Fargo & Company (NYSE: WFC) is a leading financial services company that has approximately $2.1 trillion in assets. We provide a diversified set of banking, investment and mortgage products and services, as well as consumer and commercial finance, through our four reportable operating segments: Consumer Banking and Lending, Commercial Banking, Corporate and Investment Banking, and Wealth & Investment Management....",san-diego
Rula,https://builtin.com/company/rula,Healthtech • Other • Social Impact • Software • Telehealth,"Fully Remote, USA",595 Employees,"We believe that when access to quality mental healthcare improves, patients, providers, and payers all benefit. And that’s why we’re on a mission to make mental healthcare work for everyone. We remove barriers and strengthen connection points between patients, providers, and payers to improve mental health outcomes. With Rula, it’s easy for patients to find a high-quality therapist or psychiatric...",san-diego
Dscout,https://builtin.com/company/dscout,Enterprise Web • Mobile • Professional Services • Software,6 Offices,180 Employees,"Dscout helps companies better understand the experiences people have with their products and brands in everyday life. Our SaaS video research platform helps our customers gather, manage, share and analyze millions of in-context moments submitted by people around the world.",san-diego
Identity Digital,https://builtin.com/company/identity-digital,Consumer Web • eCommerce • Internet of Things,7 Offices,240 Employees,"Our Mission: Create a world where everyone has an authentic digital identity. Identity Digital is an internet infrastructure company that makes sure web addresses work seamlessly. If we do our job right, we are invisible to the user. We have the world’s largest portfolio of nearly 300 TLDs like .info, .pro, .world, which lets people and businesses build, market, and own...",san-diego
DraftKings,https://builtin.com/company/draftkings,Digital Media • Gaming • Information Technology • Software • Sports • Esports • Big Data Analytics,11 Offices,"6,400 Employees","It's simple, at DraftKings, we believe life is more fun when you're in on the action. For that reason, we’re committed to responsibly creating the world’s favorite games and betting experiences. We’re developing the most innovative and entertaining real money products and offers; to forever transform how people experience sports; to be a fully vertically integrated sports betting operator. It's...",san-diego
"Adswerve, Inc.",https://builtin.com/company/adswerve-inc,AdTech • Artificial Intelligence • Cloud • Digital Media • Marketing Tech • Analytics • Consulting,2 Offices,250 Employees,"We're an award-winning data, media and tech consultancy and a leading Google and Adobe partner that helps brands and agencies think beyond clicks and conversions to unlock new opportunities for growth. We thrive on rolling up our sleeves and digging into the tough stuff for our 800+ clients. And we love getting them the most ROI from their digital marketing....",san-diego
Vibes,https://builtin.com/company/vibes,Marketing Tech • Mobile • Software,"Chicago, Illinois, USA",140 Employees,"At Vibes, our premier mobile messaging platform helps world-class brands intelligently automate and optimize their mobile marketing outcomes through the power of SMS, MMS, RCS and Mobile Wallet. Industry leaders like Chipotle, Kohl’s, Polo Ralph Lauren, The Children's Place, KFC, Ulta Beauty, and others use Vibes to grow their customer relationships with relevant, high-volume mobile messaging and mobile wallet marketing on...",san-diego
Commerce,https://builtin.com/company/commerce,Artificial Intelligence • Cloud • Consumer Web • eCommerce • Information Technology • Software,5 Offices,"1,200 Employees","Commerce (Nasdaq: CMRC) empowers businesses to innovate, grow, and thrive through an open, AI-driven commerce ecosystem. As the parent company of BigCommerce, Feedonomics, and Makeswift, we help brands unlock the full potential of their data, connect systems, and deliver seamless, personalized experiences across every channel. Visit commerce.com or follow us for more. #PoweredByCommerce",san-diego
System1,https://builtin.com/company/system1,AdTech • Big Data • Digital Media • Marketing Tech,2 Offices,300 Employees,"We are an omnichannel customer acquisition platform with offices throughout the US, Canada and Europe. System1 builds desktop and mobile apps, search engines, and online publications that empower consumers with information while respecting their privacy. We also operate brands that include CouponFollow, Startpage and MapQuest. System1 is a champion of AI technology, investing in the first legal AI called Vinny...",san-diego
Artera,https://builtin.com/company/artera,Healthtech • Other • Sales • Software • Analytics • Conversational AI,10 Offices,250 Employees,"Artera, a SaaS leader in digital health, transforms patient experience with AI-powered virtual agents (voice and text) for every step of the patient journey. Trusted by 1,000+ provider organizations - including specialty groups, FQHCs, large IDNs and federal agencies - engaging 100 million patients annually. Artera’s virtual agents support front desk staff to improve patient access including self-scheduling, intake, forms,...",san-diego
Northwestern Mutual,https://builtin.com/company/northwestern-mutual,Fintech • Insurance • Financial Services,2 Offices,"8,400 Employees","You’ll Like It Here At Northwestern Mutual, we believe that our lives and our work matter. And that doing what’s right is good for everyone. We follow through by designing tech that improves the community and cultivating creative ways to make finance accessible anywhere. These guiding principles have allowed our company to grow for more than 160 years. Here, you’ll be with...",san-diego
M13,https://builtin.com/company/m13,Angel or VC Firm,2 Offices,40 Employees,"M13 is an early-stage (seed and Series A) venture capital firm that invests in visionary founders building disruptive software businesses. Established in 2016 with offices in Los Angeles and New York, the firm is a full-stack partner that brings its deep bench of full-time operators to help founders outperform and build category-defining companies. M13’s portfolio includes more than 200 direct...",san-diego
Braze,https://builtin.com/company/braze,Marketing Tech • Mobile • Software,15 Offices,"2,000 Employees","At Braze, we believe in the passion of our people. We seek to ignite that passion by setting high standards, championing teamwork, and creating work-life harmony. We thrive when people add their unique perspectives to our ever-growing teams-and we strive to empower you to make an impact that fuels both you, and our business.",san-diego
Yooz,https://builtin.com/company/yooz,Artificial Intelligence • Cloud • Fintech • Machine Learning • Software • Financial Services • Automation,2 Offices,470 Employees,"Yooz provides the smartest, most powerful, and easiest-to-use cloud-based E-invoicing and Purchase-to-Pay (P2P) automation solution. It delivers unmatched savings, speed, and security with affordable zero-risk subscriptions to more than 5,000 customers and 300,000 users worldwide.",san-diego
The Farmer's Dog,https://builtin.com/company/farmers-dog,eCommerce • Food • Pet,3 Offices,260 Employees,"The Farmer’s Dog was born from a mission to change the landscape of pet health, providing dogs and their humans with honest, smart, and simple care. We’re starting by radically improving the $90 billion pet food industry, replacing bulk bags of highly-processed mystery pellets with a personalized subscription service that sends healthy, freshly-made dog food directly to customers’ doors. Our...",san-diego
Carbon Robotics,https://builtin.com/company/carbon-robotics,Artificial Intelligence • Computer Vision • Hardware • Machine Learning • Robotics • Software • Agriculture,8 Offices,280 Employees,"Carbon Robotics builds the industry-leading AI-powered LaserWeeder™ which combines computer vision, AI deep learning technology, robotics, and lasers to identify crops versus weeds - and shoots the weeds with lasers. More than 100 of the world’s largest specialty crop growers have deployed LaserWeeders™ in North America, Europe, and Australia. This no-touch, precision technology is effective day and night in over 100...",san-diego
OppFi,https://builtin.com/company/oppfi,Fintech • Social Impact • Financial Services,"Fully Remote, USA",450 Employees,"OppFi is a leading tech-enabled digital finance platform that works with banks to provide financial products and services for everyday Americans. Through a transparent and responsible platform, which includes financial inclusion and excellent customer experience, the Company supports consumers who are turned away by mainstream options to build better financial health. OppFi maintains an A+ rating from the Better Business Bureau...",san-diego
Grow Therapy,https://builtin.com/company/grow-therapy,Healthtech • Social Impact • Software,2 Offices,460 Employees,"We see technology not as a layer on top of care, but as the connective tissue that helps it grow. Grow Therapy is an online therapy platform that helps you find a therapist who gets you-and takes your insurance. Grow was founded to create end-to-end systems that make therapy easier on both sides: helping therapists launch and grow thriving private practices...",san-diego
Formation Bio,https://builtin.com/company/formation-bio,Artificial Intelligence • Big Data • Healthtech • Biotech • Pharmaceutical,"New York, New York, USA",140 Employees,"Formation Bio is a tech-driven pharma company differentiated by radically more efficient drug development. Formation Bio has built a technology platform that optimizes all aspects of drug development, enabling more efficient trial design, faster trial completion, and higher quality trial data capture. Formation Bio acquires clinical-stage drugs from pharma and biotech and develops them faster and more efficiently, unlocking greater...",san-diego
VelocityEHS,https://builtin.com/company/velocityehs,Cloud • Greentech • Social Impact • Software • Consulting,6 Offices,500 Employees,"VelocityEHS is more than a software company - we’re a team of expert problem solvers passionate about making the world a safer, more sustainable place to work. We simplify complex challenges through innovation, collaboration, and smart technology that drives real impact. At VelocityEHS, you’ll join people who care deeply about doing meaningful work, growing together, and helping companies around the...",san-diego
Movable Ink,https://builtin.com/company/movable-ink,Artificial Intelligence • Marketing Tech • Software,5 Offices,600 Employees,"Movable Ink personalizes every customer engagement through automation and artificial intelligence. The world’s most innovative brands rely on Movable Ink to maximize revenue, simplify workflow and achieve the optimal customer experience. Headquartered in New York City with 600 employees, Movable Ink serves its global client base with operations throughout North America, Central America, Europe, and Australia.",san-diego
Dynatrace,https://builtin.com/company/dynatrace,Artificial Intelligence • Big Data • Cloud • Information Technology • Software • Big Data Analytics • Automation,37 Offices,"5,200 Employees","Dynatrace lets customers understand their business like never before, so they can see beyond the complexity, find and fix problems faster and automate manual tasks with Al - so they can focus on what truly matters: running their business.",san-diego
Taskrabbit,https://builtin.com/company/taskrabbit,eCommerce • Information Technology • Sharing Economy • Software,6 Offices,450 Employees,"Taskrabbit is a marketplace platform that conveniently connects people with Taskers to handle everyday home to-do’s, such as furniture assembly, handy work, moving help, and much more. Acquired by IKEA Group - the world’s largest furniture retailer - in 2017 At Taskrabbit, we want to make your neighborhood a little more familiar. Whether it’s a handyman (or woman!), a housecleaner, moving...",san-diego
Toast,https://builtin.com/company/toast,Cloud • Fintech • Food • Information Technology • Software • Hospitality,7 Offices,"5,000 Employees","Toast is the all-in-one platform built for restaurants of all sizes. Toast provides a single platform of software as a service (SaaS) products and financial technology solutions that give restaurants everything they need to run their business, including point of sale, payments, supplier management, digital ordering and delivery, marketing and loyalty, and team management. By serving as the restaurant operating...",san-diego
Clearwater Analytics (CWAN),https://builtin.com/company/enfusion,Fintech • Software • Financial Services,10 Offices,"1,100 Employees","CWAN was founded on a simple belief: investment professionals deserve modern technology that actually works for them. Not legacy systems that slow them down. Not fragmented data that creates confusion. But one comprehensive platform that gives you complete visibility and crystal-clear insights. The result? Investment management that works as seamlessly as your investment strategy. Since our founding in 2004, CWAN has been...",san-diego
Squarespace,https://builtin.com/company/squarespace,Consumer Web • eCommerce • Marketing Tech • Payments • Software • Design • SEO,3 Offices,"1,723 Employees","Squarespace is a design-driven platform helping entrepreneurs build brands and businesses online. We empower millions of customers in more than 200 countries and territories with all the tools they need to create an online presence, build an audience, monetize, and scale their business. At Squarespace, we celebrate creative possibility. With a culture rooted in curiosity, Squarespace aims to provide its employees...",san-diego
Atlassian,https://builtin.com/company/atlassian,Cloud • Information Technology • Productivity • Security • Software • App development • Automation,16 Offices,"11,000 Employees","Atlassian creates teamwork solutions for high-performing teams. Our portfolio of collaboration and work management software products includes Jira, Confluence, Trello, Loom and Rovo. More than 300,000 businesses worldwide rely on Atlassian’s technology, including 80 percent of Fortune 500 companies. Our solutions support various business teams and they help organizations plan, track, and deliver their biggest ideas together.",san-diego
Globe Life,https://builtin.com/company/globe-life,Insurance • Financial Services,"McKinney, Texas, USA","3,000 Employees","Boasting a rich legacy spanning more than 120 years and serving as the official life insurance of the Dallas Cowboys, Texas Rangers, and Los Angeles Lakers, Globe Life presents a unique opportunity to embark on a rewarding career. At Globe Life, we're searching for passionate and talented individuals who thrive on innovation, creativity, and teamwork. In return, we encourage a healthy...",san-diego
Mastercard,https://builtin.com/company/mastercard,Blockchain • Fintech • Payments • Consulting • Cryptocurrency • Cybersecurity • Quantum Computing,22 Offices,"38,800 Employees","Mastercard powers economies and empowers people in 200+ countries and territories worldwide. Together with our customers, we’re building a resilient economy where everyone can prosper. We support a wide range of digital payments choices, making transactions secure, simple, smart and accessible. Our technology and innovation, partnerships and networks combine to deliver a unique set of products and services that help...",san-diego
CAIS,https://builtin.com/company/cais,Fintech • Software • Financial Services,4 Offices,341 Employees,"CAIS is the leading alternative investment platform for independent financial advisors. The CAIS platform powers the pre-trade, trade, and post-trade lifecycle of alternative investments providing financial advisors and alternative asset managers a single operating system for scale and efficiency. CAIS serves over 2,000 wealth management firms that support more than 50,000 financial advisors who oversee approximately $6 trillion in end-client assets....",san-diego
Britebound,https://builtin.com/company/american-studen-assistance,Edtech • Social Impact • Software,"Boston, Massachusetts, USA",100 Employees,"Britebound is changing the way kids learn about careers and navigate postsecondary pathways through exploration, work-based learning, and free digital experiences. We meets students both in and beyond the classroom with digital tools, resources, and information to empower their career planning journeys. We believe that exploring career possibilities, as early as middle school, and having equitable access to education-to-career pathways aligned...",san-diego
Blacksmith,https://builtin.com/company/blacksmith,Information Technology • Software,2 Offices,7 Employees,Blacksmith is the fastest way to run your GitHub Action workflows. We orchestrate your workflows over our fleet of bare-metal gaming CPUs with your build caches co-located right next to your CI jobs. All it takes is a one-line code change. Get started with Blacksmith https://docs.blacksmith.sh/getting-started/quickstart,san-diego
Worksmith,https://builtin.com/company/worksmith,Cannabis • Enterprise Web • HR Tech • Retail • Software • PropTech,"Fully Remote, USA",40 Employees,"Worksmith is a software-enabled marketplace connecting commercial tenants and property owners/managers with qualified local service providers for repairs, maintenance, cleaning and creative services. We currently serve over 5,000 locations for leading brands like Burberry, Nespresso, Faherty Brand, Tiffany & Co., Pandora, Lovisa and Louis Vuitton. As of June 30th, Worksmith acquired Progress Retail, a leading retail operations and learning platform delivering...",san-diego
Gloo,https://builtin.com/company/gloo,Social Impact • Software,5 Offices,250 Employees,"At Gloo, we believe relationships catalyze growth, and when technology serves relationships, the world can change, one life at a time. So we’re building the technology platform for the faith ecosystem, so people can flourish and communities can thrive. We serve those who serve. From pastors and publishers, developers and donors, individuals and beyond-our technology platform releases the collective strength of...",san-diego
Red 6,https://builtin.com/company/red-6,Aerospace • Hardware • Software • Virtual Reality • Defense,3 Offices,186 Employees,"Red 6 is an innovative Augmented Reality (AR) technology startup leading the way in synthetic air combat training. Our primary technology, supporting our ATARS product, enables pilots to simulate the cognitive challenges of flying while accessing realistic, scalable training in dynamic outdoor environments",san-diego
January,https://builtin.com/company/january,Artificial Intelligence • Fintech • Payments • Social Impact • Analytics • Financial Services • Automation,2 Offices,111 Employees,"At January, we bring humanity to consumer finance. Using data intelligence, we create trust and deliver better outcomes for consumers and creditors alike. Our mission is simple: expand access to credit while empowering consumers to achieve lasting stability and control of their financial lives. We began by building the foundation for creditors to engage with and support their borrowers at scale...",san-diego
Vivid Seats,https://builtin.com/company/vivid-seats,Consumer Web • eCommerce • Events • Information Technology • Software,3 Offices,600 Employees,"Founded in 2001, Vivid Seats is a leading online ticket marketplace committed to becoming the ultimate partner for connecting fans to the live events, artists, and teams they love. Based on the belief that “Life Happens Live”, the Chicago-based company provides exceptional value by providing one of the widest selections of events and tickets in North America and an industry...",san-diego
Definitive Healthcare,https://builtin.com/company/definitive-healthcare,Big Data • Healthtech • Software,3 Offices,800 Employees,"We’re a healthcare technology company that provides industry-leading intelligence on the healthcare provider market. Why do we do it? Because understanding provider landscapes, identifying opportunities, and reaching the right points of contact can be difficult to do in a constantly changing market. But it doesn’t have to be. Our comprehensive data platform reduces market complexity and streamlines physician and facility...",san-diego
Headway,https://builtin.com/company/headway,Consumer Web • Healthtech • Professional Services • Social Impact • Software,3 Offices,819 Employees,"Headway’s mission is a big one – to build a new mental health care system everyone can access. We’ve built technology that helps people find great therapists with the first software-enabled national network of providers accepting insurance. 1 in 4 people in the US have a treatable mental health condition, but the majority of providers don’t accept insurance, making therapy...",san-diego
Jasper,https://builtin.com/company/jasper,Artificial Intelligence • Marketing Tech • Software • Generative AI • Automation,3 Offices,220 Employees,"Jasper is the industry's first intelligent, intuitive workspace for marketers. Powered by intelligent Agents, Jasper helps redefine marketing processes while providing a rich context layer, ensuring content is resonant and compliant – even at scale.",san-diego
Centerfield,https://builtin.com/company/centerfield,AdTech • Consumer Web • Digital Media • eCommerce • Insurance • Marketing Tech • SEO,"Playa Vista, California, USA",890 Employees,"Super-charged customer acquisition. Centerfield delivers outcome-based digital marketing solutions and personalized omnichannel experiences for the world’s leading brands. Powered by our proprietary Dugout platform, Centerfield acquires customers at scale for leading residential service, insurance, e-commerce and B2B brands. Centerfield’s digital experiences and digital brands, such as Business.com and BroadbandNow.com, reach more than 150 million in-market shoppers annually. Centerfield is headquartered...",san-diego
Apollo.io,https://builtin.com/company/apolloio,Artificial Intelligence • Enterprise Web • Information Technology • Productivity • Sales • Software • Database,4 Offices,850 Employees,"Apollo is a $1.6B AI-powered sales platform that helps revenue teams find and engage leads, automate outreach, manage deals, and enrich data - all in one place. Known for its industry-leading B2B database of more than 210 million contacts and 35 million companies, Apollo’s end-to-end platform helps businesses of all sizes unlock their full market potential with unparalleled precision and...",san-diego
Block,https://builtin.com/company/block-inc,Blockchain • eCommerce • Fintech • Payments • Software • Financial Services • Cryptocurrency,23 Offices,"12,000 Employees","Block, Inc. is a global technology company with a focus on financial services. Made up of Square, Cash App, Afterpay, TIDAL, Bitkey, and Proto, Block, Inc. builds technology to increase access to the global economy. Each of our brands unlocks different aspects of the economy for more people. Square makes commerce and financial services accessible to sellers. Cash App is the...",san-diego
ServiceNow,https://builtin.com/company/servicenow,Artificial Intelligence • Cloud • HR Tech • Information Technology • Productivity • Software • Automation,76 Offices,"28,000 Employees","As the AI platform for business transformation, we're putting AI to work across organizations - freeing people for work that matters. Making old tech work with new tech. Reaching across departments, from the front office to the back office and every office in between. Our ambition? To become the AI defining enterprise software company of the 21st century (or ""AI...",san-diego
Grocery TV,https://builtin.com/company/grocery-tv,AdTech • Digital Media • Hardware • Marketing Tech • Retail • Software,2 Offices,56 Employees,"Grocery TV is the leading in-store retail media platform. Over 120 retailers partner with Grocery TV to modernize their stores and drive incremental revenue, while upholding a high-quality shopper experience. Grocery TV handles the complexities of operating an in-store media network so retailers can focus on what they do best-serving their customers. Reaching 1 in 4 Americans across nearly 6,000...",san-diego
SteelSeries,https://builtin.com/company/steelseries,Gaming • Hardware • Software,6 Offices,320 Employees,"SteelSeries is a global leader in gaming. We create hardware and software that enhances the gaming experience, improves performance, and leads to winning. Want proof? Esports pros have won more prize money using our gear than with any other brand. Our philosophy is that professional quality gear benefits every gamer, whether they're playing with friends, streaming their favorite titles, or...",san-diego
Taboola,https://builtin.com/company/taboola,AdTech • Big Data • Digital Media • Marketing Tech,33 Offices,"1,900 Employees","Taboola empowers businesses to grow through performance advertising technology that goes beyond search and social and delivers measurable outcomes at scale. Taboola works with thousands of businesses who advertise directly on Realize, Taboola’s powerful ad platform, reaching approximately 600M daily active users across some of the best publishers in the world. Publishers like NBC News, Yahoo, and OEMs such as Samsung,...",san-diego
Babylist,https://builtin.com/company/babylist,eCommerce • Healthtech • Kids + Family • Retail • Social Media,4 Offices,300 Employees,"Babylist is the trusted platform for millions of growing families. For over a decade, Babylist has been the technology solution for expecting parents and the community that supports them, expanding from baby registry into a full-service platform that helps parents make decisions with confidence, stay connected, and build happy and healthy families. Every year Babylist helps over 9M people make...",san-diego
"Vestmark, Inc.",https://builtin.com/company/vestmark-inc,Fintech • Software,2 Offices,400 Employees,"Headquartered outside of Boston, Mass. and founded in 2001, Vestmark is a leading provider of portfolio management/trading solutions and outsourced services for financial institutions and their advisors, enabling them to efficiently manage and trade customized client portfolios through an innovative SaaS platform. Supporting over $1.5 trillion in assets and more than 5 million accounts, Vestmark is a partner to some...",san-diego
Cohere Health,https://builtin.com/company/cohere-health,Healthtech • Software,2 Offices,900 Employees,"Cohere Health’s clinical intelligence platform delivers AI-powered solutions that streamline access to quality care by improving payer-provider collaboration, cost containment, and healthcare economics. Cohere Health works with over 660,000 providers and handles over 12 million prior authorization requests annually. Its responsible AI auto-approves up to 90% of requests for millions of health plan members. With the acquisition of ZignaAI, we’ve further...",san-diego
Standard Template Labs,https://builtin.com/company/standard-template-labs-0,Artificial Intelligence • Information Technology • Software,"New York, New York, USA",25 Employees,"We’re on a mission to reinvent IT Service Management from the ground up. In an industry dominated by outdated, bloated tools, we believe it’s time for a clean slate - modern, efficient, and built with the end-user in mind. Our goal is to create software that teams actually want to use - tools that accelerate productivity instead of slowing it...",san-diego
Resident,https://builtin.com/company/resident,eCommerce • Retail,4 Offices,238 Employees,"Resident is a house of direct-to-consumer brands in the home goods space. We started with the award-winning including Nectar mattress in 2016 and have continued our meteoric growth with an expanding portfolio, DreamCloud and Awara to name a few. At Resident, we are relentless in our passion to provide customers with better choices when it comes to everyday home design....",san-diego
OpenX Technologies,https://builtin.com/company/openx-technologies,AdTech • Enterprise Web • Information Technology • Machine Learning • Marketing Tech • Sales,4 Offices,420 Employees,"OpenX is focused on unleashing the full economic potential of digital media companies. We do this by making digital advertising markets and technologies that are designed to deliver optimal value to publishers and advertisers on every ad served across all screens. We’re an independent omni-channel supply-side platform (SSP) and a global leader in supply-side targeting, transparency, and sustainability. Through our...",san-diego
Qualtrics,https://builtin.com/company/qualtrics,Artificial Intelligence • HR Tech • Information Technology • Software • Business Intelligence,33 Offices,"5,000 Employees","Qualtrics is trusted by thousands of the world’s best organizations to power exceptional customer and employee experiences that build deep human connections, increase customer loyalty, boost employee engagement, and drive business success. Our advanced AI and specialized Experience Agents™ allow businesses and governments to proactively interact with customers and employees in personalized ways across every channel and touchpoint, respond in-the-moment...",san-diego
HERE Technologies,https://builtin.com/company/here,Artificial Intelligence • Automotive • Computer Vision • Information Technology • Internet of Things • Logistics • Software,19 Offices,"6,000 Employees","HERE Technologies is a location data and technology company that created the first digital map over 35 years ago. Today we are the world's leading location platform company with a global footprint across 52 countries. Although our strongest presence is in the automotive industry, we also work with leading companies across a wide range of industries, including transport and logistics,...",san-diego
Enverus,https://builtin.com/company/enverus,Big Data • Information Technology • Software • Analytics • Energy,15 Offices,"1,800 Employees","Enverus’ innovative technologies drive production and investment strategies, enable best practices for energy and commodity trading and risk management, and reduce costs through automated processes across critical business functions. Enverus is a strategic partner to more than 6,000 customers in 50 countries. Enverus is a portfolio company of Hellman & Friedman and Genstar Capital.",san-diego
Magna International,https://builtin.com/company/magna-international,Automotive • Hardware • Robotics • Software • Transportation • Manufacturing,10 Offices,"171,000 Employees","We are a mobility company that innovates like a start-up and thinks like a technology company. This helps us anticipate change in one of the most complex industries in the world and respond quickly. We depend on a team of 171,000 dynamic, entrepreneurial-minded employees in an environment where great ideas flourish. Our presence spans 343 manufacturing operations and 88 product...",san-diego
IMC Trading,https://builtin.com/company/imc-trading,Fintech • Machine Learning • Software • Financial Services,8 Offices,"1,954 Employees","IMC is a global trading firm powered by a cutting-edge research environment and a world-class technology backbone. Since 1989, we’ve been a stabilizing force in financial markets, providing essential liquidity upon which market participants depend. Across our offices in the US, Europe, Asia Pacific, and India, our talented quant researchers, engineers, traders, and business operations professionals are united by our...",san-diego
Teachable,https://builtin.com/company/teachable,eCommerce • Edtech,2 Offices,160 Employees,"Teachable was founded in 2014 to provide a solution that was missing for Creators in what was the early online courses space. Teachable is where seasoned creators around the world build their legacy through education. On Teachable, it’s easy to create high-quality courses, coaching, memberships, and digital downloads that help creators scale their businesses-and truly impact people's lives. With tools designed...",san-diego
Closinglock,https://builtin.com/company/closinglock,Fintech • Real Estate • Security • Software • Financial Services • Cybersecurity • PropTech,"Austin, Texas, USA",100 Employees,"Closinglock is the trusted platform for securing and streamlining real estate transactions. Working with title and escrow companies, we protects what truly matters: their clients, their funds, and their hard-earned reputation. Closinglock brings the real estate payments workflow into one secure space to prevent fraud and digitize the process, allowing buyers to pay their earnest money deposit and down payments...",san-diego
Applecart,https://builtin.com/company/applecart,AdTech • Big Data • Digital Media • Marketing Tech,2 Offices,249 Employees,"Applecart advises the C-suites of hundreds of industry-leading organizations spanning over 100 Fortune 500 companies, top communications and advertising agencies, major trade associations, leading nonprofit organizations, and governments. Applecart’s platform enables CEOs, Chief Corporate Affairs Officers, CCOs, CMOs and other C-suite executives to generate visibility for their most valuable content with critical decision makers and those in their orbits across...",san-diego
STR,https://builtin.com/company/str,Machine Learning • Security • Software • Analytics • Defense,5 Offices,800 Employees,STR makes the world a safer place by developing technology and applying it to solve emerging national security challenges.,san-diego
