name,builtin_url,sectors,location,employees,description,revenue_model,work_regime,primary_function,secondary_function,is_michigan_hq
Chime,https://builtin.com/company/chime,Fintech • Machine Learning • Mobile • Security • Software,3 Offices,"1,500 Employees","Chime was created because we believe everyone can Unlock Financial Progress, and we want to develop solutions and services to empower people to succeed. The premise upon which we started Chime is simple: basic banking services should be helpful, transparent, and easy. Our suite of tools and platforms give our members the ability to have more control over their money...",Mixed,Startup/Venture,Bureaucracy,Tool,no
Wolverine Trading,https://builtin.com/company/wolverine-trading,Fintech • Software • Financial Services • Quantitative Trading,2 Offices,390 Employees,"The Wolverine companies comprise a number of diversified financial institutions specializing in proprietary trading, asset management, order execution services, and technology solutions. We are recognized as a market leader in derivatives valuation, trading, and value-added order execution across global equity, options, and futures markets.",Transaction fees,Startup/Venture,Bureaucracy,Tool,no
ePayPolicy,https://builtin.com/company/epaypolicy,Fintech • Insurance • Payments • Software,"Austin, Texas, USA",155 Employees,"ePayPolicy offers easier payment tools, built just for insurance. ePayPolicy's products bring insurance payments up to speed for agencies, carriers, MGAs and PFCs, with secure online payment pages, automated check processing, accounting reconciliation and more. 11,000+ insurance companies trust ePayPolicy and their expert support team to handle their payments every day.",Transaction fees,Startup/Venture,Bureaucracy,Tool,no
Thrive Market,https://builtin.com/company/thrive-market,Consumer Web • eCommerce • Food • Healthtech • Natural Language Processing • Social Impact,"Fully Remote, USA","1,000 Employees","Thrive Market was founded in 2014 with a mission to make healthy and sustainable living easy and affordable for everyone. We're an online grocery store that delivers the highest-quality organic and sustainable products at member-exclusive low prices. What's more, every paid annual membership sponsors a free one-year membership for a family in financial need. Every day, we leverage innovative technology...",Subscription,Startup/Venture,Media,Tool,no
Agero,https://builtin.com/company/agero,Automotive • Big Data • Insurance • Software • Transportation,"Medford, Massachusetts, USA","1,600 Employees","Agero is a leading provider of driver assistance, accident management, consumer affairs support and connected vehicle services for stakeholders across the automotive industry, including the world’s largest automakers, auto retailers, insurers, rideshare providers and other brands. As the driving force behind mobility support throughout all points in the vehicle ownership journey - from purchase to maintenance and breakdown to resell or...",Mixed,Corporate Agile,Bureaucracy,Tool,no
Lob,https://builtin.com/company/lob,Logistics • Marketing Tech • Software,"Fully Remote, USA",125 Employees,"Lob was founded in 2013 by technical co-founders with a vision to connect the world one mailbox at a time. We're transforming the way businesses use direct mail and bringing the power of technology to a traditionally manual channel. Our modern logistics and fulfillment engine helps businesses to build and scale high-quality, personalized direct mail programs without the operational burden....",Usage-based,Startup/Venture,Tool,Bureaucracy,no
Flourish,https://builtin.com/company/flourish,Fintech • Insurance • Financial Services,3 Offices,93 Employees,"Flourish provides innovative access to financial products that help advisors secure their clients’ financial futures. We work with over 900 wealth management firms that collectively represent more than $1.6 trillion in assets under management across two products: Flourish Annuities and Flourish Cash — with additional exciting products in the works. Headquartered in New York City, we are an independent subsidiary...",Transaction fees,Startup/Venture,Bureaucracy,Tool,no
Arcadia,https://builtin.com/company/arcadia,Big Data • Fitness • Healthtech • Information Technology • Software • Analytics,2 Offices,360 Employees,"Arcadia is a leading healthcare data analytics platform that helps payers and providers turn complexdata into actionable insights. In turn, payers and providers can focus on what matters most — whether that’s patient outcomes, operational efficiencies, or financial performance. Arcadia partners with many of the nation’s top healthcare organizations and empowers its teams to drive real-world impact through innovation, collaboration,...",Subscription,Startup/Venture,Tool,Bureaucracy,no
Perk,https://builtin.com/company/perk-5,Artificial Intelligence • Fintech • Greentech • Sales • Software • Travel • Hospitality,12 Offices,"1,800 Employees","Perk (formerly TravelPerk) is the intelligent platform for travel and spend management. Built to tackle the time-consuming, manual work that gets in the way of real work, our tools automate everything from travel bookings to expenses, invoice processing, and more. By eliminating this shadow work that wastes hours, erodes morale, and saps innovation, we’re on a mission to power real...",Subscription,Startup/Venture,Tool,Bureaucracy,no
"BAE Systems, Inc.",https://builtin.com/company/bae-systems,Aerospace • Hardware • Information Technology • Security • Software • Cybersecurity • Defense,23 Offices,"40,000 Employees","Improving the future and protecting lives is an ambitious mission, but it’s what we do. As a leading aerospace, defense, and security company, we work together to deliver a full range of products and services for air, land, space, and naval forces, as well as advanced electronics, security, information technology solutions and customer support services. How we work is rooted...",Mixed,Corporate Agile,Tool,Bureaucracy,no
monday.com,https://builtin.com/company/mondaycom,Artificial Intelligence • Productivity • Sales • Software,12 Offices,"3,049 Employees","At monday.com, we help teams get more work done. We are the best AI work platform that empowers teams to automate, build, and scale their impact end-to-end with tools that actually execute the work for you. With over $1B in ARR, 250,000+ customers, and a global team, we’re serious about building a product people love to use and giving our...",Subscription,Startup/Venture,Tool,Bureaucracy,no
John Deere,https://builtin.com/company/john-deere,Artificial Intelligence • Cloud • Internet of Things • Machine Learning • Analytics • Industrial,8 Offices,"69,000 Employees","Life can’t evolve without innovation. That’s why we’re ideating to help feed the planet, build smarter, and help our farmers and growers to sustainably optimize their land. The mission is underway, but we need the right people to continue bringing it to life. From coders to assemblers and from engineers and tech experts to marketers and field teams. All find...",Hardware sales,Corporate Agile,Tool,None,no
ABN AMRO Clearing USA LLC,https://builtin.com/company/abn-amro-clearing-usa-llc,Information Technology • Professional Services • Financial Services,"Chicago, Illinois, USA",215 Employees,"ABN AMRO Clearing USA LLC (AAC-USA) is a subsidiary of ABN AMRO Clearing Bank N.V. We are a global clearing firm that provides an integrated suite of financial services to professional trading participants in the global financial market. The core service offering consists of clearing, execution, stock borrowing and lending, settlement. AAC-USA has a Global Reach through direct and indirect clearing...",Transaction fees,Corporate Agile,Bureaucracy,Tool,no
Freed,https://builtin.com/company/freed-ai,Artificial Intelligence • Healthtech • Software,"San Francisco, California, USA",59 Employees,"At Freed, we’re on a mission to give clinicians their time back - because healthcare professionals should be caring for patients, not drowning in paperwork. Every year, doctors and clinicians spend thousands of hours documenting care. That’s time lost to late nights, burnout, and administrative overload. Freed is changing that. We’ve built a powerful, AI-driven medical scribe that listens in on...",Subscription,Startup/Venture,Tool,Bureaucracy,no
Trumid,https://builtin.com/company/trumid,Fintech • Information Technology • Software • Financial Services,2 Offices,200 Employees,"We’re a fast-growing technology company transforming fixed income trading. With a proven track record of innovation, we’ve become one of the three largest electronic trading platforms in the U.S. Each month, more than 1,400 traders from nearly 1,000 buy- and sell-side institutions transact on Trumid, a testament to the scale, connectivity, and engagement of our expanding client network. We combine...",Transaction fees,Startup/Venture,Bureaucracy,Tool,no
Mirakl,https://builtin.com/company/mirakl,eCommerce • Information Technology • Retail • Software,8 Offices,750 Employees,"Since 2012, Mirakl has been pioneering the platform economy, empowering retail and B2B enterprises with the most advanced, secure and scalable technology to digitize and expand product assortment through marketplace and dropship, improve efficiency in supplier catalog management and payments, personalize shopping experiences, and boost profits through retail media. Mirakl is trusted by Macy’s, Saks, Henry Schein, The Knot, 1800-Flowers, Best...",Subscription,Startup/Venture,Tool,Bureaucracy,no
Optum,https://builtin.com/company/optum,Artificial Intelligence • Big Data • Healthtech • Information Technology • Machine Learning • Software • Analytics,22 Offices,"160,000 Employees","Optum, part of the UnitedHealth Group family of businesses, is a global organization that delivers care, aided by technology to help millions of people live healthier lives. The work you do with our team will directly improve health outcomes by connecting people with the care, pharmacy benefits, data and resources they need to feel their best. Here, you will find...",Subscription,Corporate Agile,Bureaucracy,Tool,no
Robin,https://builtin.com/company/robin,HR Tech • Information Technology • Productivity • Real Estate • Software • PropTech • Generative AI,2 Offices,95 Employees,"Robin is the leading AI platform for workplace operations. Since 2014, we’ve empowered people to do their best work by building tech solutions that fuel vibrant workplace experiences - allowing you to plan, manage and use your office in an intelligent way. With the leading desk and room booking software, the industry's first AI agent and our powerful workplace analytics,...",Subscription,Startup/Venture,Tool,Bureaucracy,no
Mochi Health,https://builtin.com/company/mochi-health,Healthtech • Telehealth,2 Offices,70 Employees,"We're Mochi Health, a pioneering force in obesity medicine dedicated to building personalized, clinically-backed weight care solutions. We're on a mission to empower patients with one-on-one virtual care and proven pharmaceutical treatments. We recognize that every body is unique, and believe weight loss plans should be, too. With over 100 million individuals struggling with obesity and 15 million already using GLP-1 prescriptions,...",Subscription,Startup/Venture,Tool,Bureaucracy,no
Magnite,https://builtin.com/company/magnite,AdTech • Big Data • Digital Media • Software,19 Offices,950 Employees,"Together, we power advertising that enables billions of people to stay informed, entertained, and connected. We introduce them to new ideas, products, and services that make their lives better. And we help media owners of all sizes realize their full potential. That’s a lot — that’s the power of advertising. But it’s only possible with great technology. And that’s where Magnite...",Advertising,Startup/Venture,Media,Tool,no
Ibotta,https://builtin.com/company/ibotta,eCommerce • Mobile • Payments,"Denver, Colorado, USA",830 Employees,"Ibotta (NYSE: IBTA) is a leading performance marketing platform allowing brands to deliver digital promotions to over 200 million consumers through a network of publishers called the Ibotta Performance Network (IPN). The IPN allows marketers to influence what people buy, and where and how often they shop – all while paying only when their campaigns directly result in a sale....",Transaction fees,Startup/Venture,Bureaucracy,Media,no
Carbon Robotics,https://builtin.com/company/carbon-robotics,Artificial Intelligence • Computer Vision • Hardware • Machine Learning • Robotics • Software • Agriculture,8 Offices,280 Employees,"Carbon Robotics builds the industry-leading AI-powered LaserWeeder™ which combines computer vision, AI deep learning technology, robotics, and lasers to identify crops versus weeds - and shoots the weeds with lasers. More than 100 of the world’s largest specialty crop growers have deployed LaserWeeders™ in North America, Europe, and Australia. This no-touch, precision technology is effective day and night in over 100...",Hardware sales,Startup/Venture,Tool,None,no
Caliola Engineering,https://builtin.com/company/caliola-engineering,Aerospace • Hardware • Machine Learning • Software • App development • Defense • Data Privacy,"Colorado Springs, Colorado, USA",68 Employees,"Caliola Engineering, LLC’s staff of systems, security, and software engineers team with PhD researchers to identify and solve mission-critical problems for customers across the US Government. We have subject matter expertise in wireless communications, cryptography, protected MILSATCOM, software defined radio, and unmanned airborne systems. Our team has experience developing and transitioning innovative technologies to Programs of Record. We are a 100%...",Services,Government/Public Sector,Tool,Bureaucracy,no
Mondelēz International,https://builtin.com/company/mondelez-international,Big Data • Food • Hardware • Machine Learning • Retail • Automation • Manufacturing,19 Offices,"90,000 Employees","Mondelēz International, Inc. (NASDAQ: MDLZ) is an American multinational confectionery, food, and beverage company based in Illinois which employs approximately 90,000 individuals around the world. Our Purpose Our purpose is to empower people to snack right. We will lead the future of snacking around the world by offering the right snack, for the right moment, made the right way. Our...",Hardware sales,Corporate Agile,Tool,Bureaucracy,no
Chamberlain Group,https://builtin.com/company/chamberlain-group,Automotive • Hardware • Internet of Things • Mobile • Software • App development • PropTech,"Oak Brook, Illinois, USA","5,769 Employees","Chamberlain Group is a global leader in intelligent access and Blackstone portfolio company. Our innovative products, combined with intuitive software solutions, comprise a myQ ecosystem that delivers seamless, secure, access to people's homes and businesses. Our recognizable brands, including LiftMaster® and Chamberlain® , are found in 50+ million homes, and 10+ million people rely on our myQ® app daily to...",Mixed,Startup/Venture,Tool,Bureaucracy,no
Teragonia,https://builtin.com/company/teragonia,Artificial Intelligence • Big Data • Machine Learning • Software • Analytics • Business Intelligence • Consulting,5 Offices,50 Employees,"It’s an exciting time to be a Teragonian! Come help us transform the Private Equity industry and drive AI innovation while taking on new challenges and career growth opportunity.​Teragonia provides an AI-based Value Orchestration platform for private equity backed mid-market operators, helping them transform fragmented operational data into an execution-focused view of business performance. With Teragonia, mid-market leaders align their...",Subscription,Startup/Venture,Tool,Bureaucracy,no
Federal Reserve Bank of Boston,https://builtin.com/company/federal-reserve-bank-boston,Fintech • Information Technology • Payments • Sharing Economy • Financial Services • Cryptocurrency,"Boston, Massachusetts, USA","1,200 Employees","As part of the Central bank of the United States, the Boston Fed works to promote sound growth and financial stability in New England and the nation. We contribute to communities, the region, and the nation by conducting economic research, participating in monetary policy-making, supervising certain financial institutions, providing financial services and payments, playing a leadership role in the payments...",Government/Public Sector,Government/Public Sector,Bureaucracy,Tool,no
Pontera,https://builtin.com/company/pontera,Fintech • Software • Financial Services,3 Offices,250 Employees,"Pontera is a fintech company on a mission to help millions of Americans retire better by enabling financial advisors to manage, balance, and report on clients' assets in 401(k)s, 403(b)s, and other workplace-sponsored accounts. Our secure, purpose-built platform, seamlessly integrated with advisors' portfolio management tools, is designed to work across many account types and help advisors improve financial outcomes through...",Subscription,Startup/Venture,Tool,Bureaucracy,no
Opto Investments,https://builtin.com/company/opto-investments,Fintech • Software • Financial Services,2 Offices,70 Employees,"Opto Investments (“Opto”) are engineering the future of private markets, offering the solution for wealth managers to efficiently build and manage differentiated private investment programs. Opto’s end-to-end technology solution dramatically streamlines building, fundraising for, and managing a bespoke private markets fund or program, allowing independent investment advisors, family offices, and private banks to scale their offerings without scaling their team. Founded by...",Subscription,Startup/Venture,Tool,Bureaucracy,no
Hireology,https://builtin.com/company/hireology,HR Tech • Other • Productivity • Social Impact • Software,"Chicago, Illinois, USA",150 Employees,"Over the last 15 years, we’ve grown from a startup to a market-leading organization with over 150 team members, and we’ve created an award-winning culture that makes this company an amazing place to work. We've been ranked on multiple best places to work lists including the 2026 BuiltIn Chicago rankings.",Subscription,Startup/Venture,Bureaucracy,Tool,no
MarketAxess,https://builtin.com/company/marketaxess,Fintech • Information Technology • Financial Services,11 Offices,892 Employees,"MarketAxess is on a journey to digitally transform one of the world's largest financial markets, enabling the shift from analog, phone-based trading to a fully electronic marketplace. Why does this matter? Because our platform makes trading fixed-income more accessible, ultimately improving transparency, efficiency and competition in the marketplace. Changing the way an established industry transacts is no easy feat. There...",Transaction fees,Corporate Agile,Bureaucracy,Tool,no
MongoDB,https://builtin.com/company/mongodb,Big Data • Cloud • Software • Database,14 Offices,"5,550 Employees","The database market is big. How big? Well, according to IDC, it’ll reach $153 billion by 2027. And MongoDB is at the forefront of that innovation with thousands of customers across the globe. We empower developers and businesses to build and deploy the applications they want, wherever they want.",Subscription,Startup/Venture,Tool,None,no
"Duda, Inc.",https://builtin.com/company/duda-inc,Agency • Digital Media • eCommerce • Marketing Tech • Software • Design • App development,6 Offices,200 Employees,"As the trusted choice for digital agencies, SaaS platforms, and web professionals, Duda powers over 1 million websites worldwide. Our platform offers a comprehensive suite of tools that enable users to efficiently create pixel-perfect, feature-rich websites at scale.",Subscription,Startup/Venture,Tool,Media,no
Blacksmith,https://builtin.com/company/blacksmith,Information Technology • Software,2 Offices,7 Employees,Blacksmith is the fastest way to run your GitHub Action workflows. We orchestrate your workflows over our fleet of bare-metal gaming CPUs with your build caches co-located right next to your CI jobs. All it takes is a one-line code change. Get started with Blacksmith https://docs.blacksmith.sh/getting-started/quickstart,Usage-based,Startup/Venture,Tool,None,no
Sprinter Health,https://builtin.com/company/sprinter-health,Artificial Intelligence • Healthtech • Logistics • Social Impact • Software • Telehealth,2 Offices,500 Employees,"At Sprinter Health, we're focused on dramatically expanding access to healthcare by reimagining the patient experience—delivered at home and powered by technology for scale. We’re a boots-on-the-ground clinician network for the tele-health age, bringing routine blood draws, labs, and vitals checks into people's busy lives. We have completed over 140,000 appointments in 2025 across the US!",Services,Startup/Venture,Tool,Bureaucracy,no
McCain Foods,https://builtin.com/company/mccain-foods,Food • Retail • Agriculture • Manufacturing,8 Offices,"20,000 Employees","The power it has to uplift and bring people, Guided by our purpose - Celebrating real connections through delicious, planet-friendly food - we believe that working together with our teams, business and community partners will bring sustainable growth and positive change - today, tomorrow and for generations to come. As a privately owned family company with over 60 years of...",Hardware sales,Corporate Agile,Media,None,no
Camber,https://builtin.com/company/camber,Fintech • Healthtech • Social Impact,"New York, New York, USA",53 Employees,"Camber is a health tech startup transforming healthcare payments by reducing administrative burdens on clinics and families. Our proprietary models leverage data-driven insights to streamline claims processing, ensuring providers get paid faster and more accurately (averaging 94% first pass), fueling growth to 100,000 patients across 40 states over the past two years. We have managed $2 billion in claims, allowing...",Transaction fees,Startup/Venture,Bureaucracy,Tool,no
Toro TMS,https://builtin.com/company/toro-tms,Cloud • Enterprise Web • Sales • Software • Transportation,"Chicago, Illinois, USA",80 Employees,"At Toro TMS, we are on a mission to deliver technology that drives lasting improvements for the trucking industry. Our dedicated team has built an easy-to-use, modern end-to-end TMS specifically designed for bulk haulers. From load management and dispatch, to accounting and driver payroll, we provide a single software solution to help our customers move more loads.",Subscription,Startup/Venture,Tool,Bureaucracy,no
M13,https://builtin.com/company/m13,Angel or VC Firm,2 Offices,40 Employees,"M13 is an early-stage (seed and Series A) venture capital firm that invests in visionary founders building disruptive software businesses. Established in 2016 with offices in Los Angeles and New York, the firm is a full-stack partner that brings its deep bench of full-time operators to help founders outperform and build category-defining companies. M13’s portfolio includes more than 200 direct...",Mixed,Startup/Venture,Bureaucracy,Tool,no
Basis,https://builtin.com/company/basis-technologies,AdTech • Digital Media • Marketing Tech • Software • Automation,"Fully Remote, USA",815 Employees,"Basis is a leading global provider of automation software designed specifically for enterprise marketers. Our platform, Basis, is the industry’s only comprehensive digital media solution that seamlessly integrates programmatic, site-direct, advanced TV, search, and social media within a single interface. By unifying these functions, Basis simplifies complex and disconnected media operations, automates repetitive tasks, and minimizes manual processes, enabling marketing...",Subscription,Startup/Venture,Tool,Bureaucracy,no
Pfizer,https://builtin.com/company/pfizer,Artificial Intelligence • Healthtech • Machine Learning • Natural Language Processing • Biotech • Pharmaceutical,19 Offices,"121,990 Employees","Our purpose ensures that patients remain at the center of all we do. We live our purpose by sourcing the best science in the world; partnering with others in the healthcare system to improve access to our medicines; using digital technologies to enhance our drug discovery and development, as well as patient outcomes; and leading the conversation to advocate for...",Licensing,Corporate Agile,Bureaucracy,Tool,no
Bilt,https://builtin.com/company/bilt-rewards,Fintech • Mobile • Real Estate • Financial Services • PropTech,"New York, New York, USA",200 Employees,"Bilt Rewards is the first loyalty program that rewards members on rent and in their neighborhood, no matter where they live. Bilt Members can earn points and access exclusive benefits on rent payments, condo & co-op fees, and around their neighborhood at local restaurants, fitness studios, rideshare, pharmacy, and more. Ranked the highest-value point currency by top publications, Bilt Points...",Transaction fees,Startup/Venture,Bureaucracy,Media,no
KUBRA,https://builtin.com/company/kubra,Artificial Intelligence • Information Technology • Mobile • Payments • Software • App development • Utilities,4 Offices,600 Employees,"KUBRA provides customer experience management solutions to some of the largest utility and government entities across North America. Our portfolio includes billing and payments, alerts and preference management, artificial intelligence solutions, mobile apps, and utility mapping solutions. KUBRA reaches over 40% of households in the U.S. and Canada, providing performance-driven value to more than 475 clients and their customers.",Subscription,Corporate Agile,Bureaucracy,Tool,yes
Whatnot,https://builtin.com/company/whatnot,eCommerce • Mobile,8 Offices,750 Employees,We bring people together around the things they love and turn their passions into their livelihood.,Transaction fees,Startup/Venture,Media,Tool,no
"The HEICO Companies, LLC",https://builtin.com/company/heico-companies-llc,Angel or VC Firm • Industrial • Manufacturing,2 Offices,"9,000 Employees","The Heico Companies is the parent holding company for a diverse portfolio of manufacturing, construction, and industrial services businesses. Today, we look to acquire performing businesses that complement our existing operations. As a buy, hold, and build investor, we have owned many of our operations for over 40 years. A key factor in our growth is our commitment to reinvest...",Mixed,Corporate Agile,Tool,None,no
360Learning,https://builtin.com/company/360learning,Artificial Intelligence • Cloud • Edtech • HR Tech • Sales • Software • Generative AI,10 Offices,400 Employees,"Performance-driven learning & development teams achieve business impact with 360Learning. L&D teams leverage AI and collaborative learning to pinpoint skills gaps, capture knowledge from experts, and deliver it to learners when needed most. 360Learning’s learning platform is equipped with powerful LMS automation, collaborative learning Academies, tools to create a top-notch learner experience, and an AI-powered Skills ontology to activate skills-based...",Subscription,Startup/Venture,Tool,Bureaucracy,no
Nexthink,https://builtin.com/company/nexthink,Artificial Intelligence • Big Data • Cloud • Information Technology • Machine Learning • Software,11 Offices,"1,200 Employees","Nexthink is the global leader in digital employee experience management. Our platform empowers IT teams with real-time visibility, analytics, and automation to proactively detect and resolve issues across any application, device, or network—before they affect employees. By shifting IT from reactive problem-solving to continuous optimization, Nexthink enables more than 1,300 organizations to create productive, seamless, and satisfying digital workplaces for...",Subscription,Startup/Venture,Tool,Bureaucracy,no
Amplify Platform,https://builtin.com/company/amplify-platform,Cloud • Fintech • Business Intelligence • Consulting • Financial Services • Big Data Analytics,"Scottsdale, Arizona, USA",62 Employees,"Amplify’s cloud-based, integrated platform is purpose-built for financial advisors and firms ready to leave inefficiency behind. From onboarding and trading to compliance and reporting, Amplify brings the tools you need together in one scalable, seamless solution—so you can focus on growing your business. Our platform doesn’t just simplify tasks—it transforms how you work. By connecting and integrating data from multiple systems...",Subscription,Startup/Venture,Bureaucracy,Tool,no
Energy CX,https://builtin.com/company/energy-cx,Greentech • Professional Services • Business Intelligence • Consulting • Energy • Financial Services • Utilities,"Chicago, Illinois, USA",108 Employees,"Energy CX is the fastest growing energy brokerage in the U.S. Known for transforming the way clients navigate the complex energy landscape, our data-driven approach and dedication to innovation position us as a leader in the energy brokerage industry. As a family-owned business, we've been laser-focused on our commitment to advancing energy solutions. We help clients maximize savings, efficiency, and...",Services,Startup/Venture,Bureaucracy,Tool,no
Domino Data Lab,https://builtin.com/company/domino-data-lab,Artificial Intelligence • Machine Learning,3 Offices,200 Employees,"Domino Data Lab powers model-driven businesses with its leading Enterprise AI platform trusted by over 20% of the Fortune 100. Domino accelerates the development and deployment of data science work while increasing collaboration and governance. With Domino, enterprises worldwide can develop better medicines, grow more productive crops, build better cars, and much more. Founded in 2013, Domino is backed by...",Subscription,Startup/Venture,Tool,Bureaucracy,no
Flywire,https://builtin.com/company/flywire,Fintech • Payments • Software,14 Offices,"1,200 Employees","Flywire is a global payments enablement and software company. We combine our proprietary global payments network, next-gen payments platform and vertical-specific software to deliver the most important and complex payments for our clients and their customers.",Transaction fees,Startup/Venture,Bureaucracy,Tool,no
Applecart,https://builtin.com/company/applecart,Big Data • Marketing Tech,2 Offices,230 Employees,"Applecart advises the C-suites of hundreds of industry-leading organizations spanning over 100 Fortune 500 companies, top communications and advertising agencies, major trade associations, leading nonprofit organizations, and governments. Applecart’s platform enables CEOs, Chief Corporate Affairs Officers, CCOs, CMOs and other C-suite executives to generate visibility for their most valuable content with critical decision makers and those in their orbits across...",Subscription,Startup/Venture,Tool,Bureaucracy,no
Ericsson,https://builtin.com/company/ericsson,Cloud • Information Technology • Internet of Things • Machine Learning • Software • Cybersecurity • Infrastructure as a Service (IaaS),31 Offices,"88,000 Employees","Ericsson builds the digital connectivity the world relies on. Our technology underpins the mobile networks, platforms, and systems that billions of people, businesses, and societies depend on every day. We are a global leader in communications technology, delivering mobile network infrastructure, cloud software, and wireless connectivity solutions for service providers and enterprises worldwide. Our networks support connectivity across 180+ countries, helping...",Licensing,Corporate Agile,Tool,Bureaucracy,no
Tufin,https://builtin.com/company/tufin,Security • Cybersecurity,5 Offices,500 Employees,"Tufin is a world leading network security policy management company, managing and automating security changes across next gen firewalls and network devices. We are a hybrid technology, supporting on/off prem and cloud services. The automation orchestration piece is what sets us apart in the market, as this allows us to help our customers to implement their security changes in hours...",Subscription,Startup/Venture,Tool,Bureaucracy,no
Ellevation Education,https://builtin.com/company/ellevation-education,Edtech • Social Impact • Software,"Fully Remote, USA",225 Employees,"Ellevation is a mission-driven company dedicated to helping English Learners (ELs) achieve their highest aspirations. We are an indispensable partner to school district administrators, teachers and students across the United States, who use our products to manage complex program requirements, build the capacity of teachers to serve multilingual learners, and empower students with the academic language necessary for success in...",Subscription,Startup/Venture,Tool,Bureaucracy,no
CAIS,https://builtin.com/company/cais,Fintech • Software • Financial Services,4 Offices,341 Employees,"CAIS is the leading alternative investment platform for independent financial advisors. The CAIS platform powers the pre-trade, trade, and post-trade lifecycle of alternative investments providing financial advisors and alternative asset managers a single operating system for scale and efficiency. CAIS serves over 2,000 wealth management firms that support more than 50,000 financial advisors who oversee approximately $6 trillion in end-client assets....",Subscription,Startup/Venture,Bureaucracy,Tool,no
Benchling,https://builtin.com/company/benchling,Cloud • Healthtech • Social Impact • Software • Biotech,4 Offices,605 Employees,"Biotechnology is rewriting life as we know it, from the medicines we take, to the crops we grow, and the household goods that we rely on every day. But moving at the new speed of science requires better technology. Benchling’s mission is to unlock the power of biotechnology. The world’s most innovative biotech companies use Benchling’s R&D Cloud to power the...",Subscription,Startup/Venture,Tool,Bureaucracy,no
Hometap,https://builtin.com/company/hometap,Fintech • Real Estate • Software • Financial Services • PropTech,3 Offices,314 Employees,"Hometap is on a mission to make homeownership less stressful and more accessible. Our home equity investment product provides homeowners with a fast, simple, and straightforward way to access the equity in their home without taking out a loan or having to sell. By investing alongside homeowners, Hometap offers debt-free cash in exchange for a share of their home’s future...",Transaction fees,Startup/Venture,Bureaucracy,Tool,no
Anduril,https://builtin.com/company/anduril,Aerospace • Artificial Intelligence • Hardware • Robotics • Security • Software • Defense,8 Offices,"6,000 Employees","Anduril is a defense products company. Unlike most defense companies, we don’t wait for our customers to tell us what they need. We identify problems, privately fund our R&D and sell finished products off the shelf. Ideas are turned into deployed capabilities in months, not years.",Hardware sales,Startup/Venture,Tool,Bureaucracy,no
"BigTime Software, Inc.",https://builtin.com/company/bigtime-software-inc,Productivity • Professional Services • Sales • Software • Consulting,4 Offices,175 Employees,Leading a successful professional service firm is an art. Running a profitable firm is a business. We understand this because our founder ran an IT Consulting firm for over 15 years. He grappled with the same challenges that professional service firm owners face today. How do I know what my employees are working on? How can I connect time and...,Subscription,Startup/Venture,Tool,Bureaucracy,no
Halter,https://builtin.com/company/halter,Greentech • Hardware • Internet of Things • Machine Learning • Software • Business Intelligence • Agriculture,2 Offices,350 Employees,"We bridge deep tech into farming and ranching. Halter enables farmers and ranchers to remotely shift, virtually fence and proactively monitor their cows’ health and behavior. Can you imagine watching 500 cows or cattle walk calmly towards the milking shed or their next break? No quad bikes, no dogs, no fences. Just a herd of cows walking at their own...",Hardware sales,Startup/Venture,Tool,Bureaucracy,no
Hi Marley,https://builtin.com/company/hi-marley,Artificial Intelligence • Cloud • Insurance • Software • Database • Conversational AI • Generative AI,"Boston, Massachusetts, USA",120 Employees,"Hi Marley is the first intelligent conversational platform built for P&C insurance and powered by SMS. Designed by insurance professionals, Hi Marley enables lovable, convenient conversations across the entire ecosystem, saving money and time for carriers while building customer loyalty through delightful interactions. Hi Marley's industry-leading collaboration, coaching and analytics capabilities deliver crucial insights that streamline carrier operations while enabling...",Subscription,Startup/Venture,Tool,Bureaucracy,no
Northwestern Mutual,https://builtin.com/company/northwestern-mutual,Fintech • Insurance • Financial Services,2 Offices,"8,400 Employees","You’ll Like It Here At Northwestern Mutual, we believe that our lives and our work matter. And that doing what’s right is good for everyone. We follow through by designing tech that improves the community and cultivating creative ways to make finance accessible anywhere. These guiding principles have allowed our company to grow for more than 160 years. Here, you’ll be with...",Subscription,Corporate Agile,Bureaucracy,Tool,no
